question,knowledge,ground_truth,hallucinated_answer_1,justification_1,fooled_discriminator_1_1,discriminator_reasoning_1_1,fooled_discriminator_2_1,discriminator_reasoning_2_1,fooled_discriminator_3_1,discriminator_reasoning_3_1,difficulty_level_1,hallucinated_answer_2,justification_2,fooled_discriminator_1_2,discriminator_reasoning_1_2,fooled_discriminator_2_2,discriminator_reasoning_2_2,fooled_discriminator_3_2,discriminator_reasoning_3_2,difficulty_level_2,hallucinated_answer_3,justification_3,fooled_discriminator_1_3,discriminator_reasoning_1_3,fooled_discriminator_2_3,discriminator_reasoning_2_3,fooled_discriminator_3_3,discriminator_reasoning_3_3,difficulty_level_3,hallucinated_answer_4,justification_4,fooled_discriminator_1_4,discriminator_reasoning_1_4,fooled_discriminator_2_4,discriminator_reasoning_2_4,fooled_discriminator_3_4,discriminator_reasoning_3_4,difficulty_level_4,hallucinated_answer_5,justification_5,fooled_discriminator_1_5,discriminator_reasoning_1_5,fooled_discriminator_2_5,discriminator_reasoning_2_5,fooled_discriminator_3_5,discriminator_reasoning_3_5,difficulty_level_5,least_similar_answer,final_difficulty_level
does cyclosporine ophthalmic helps for iritis?,,This study showed improvement of recurrent anterior uveitis [iritis] in patients while on conventional treatment with cyclosporine A 0.05% compared with conventional treatment alone.,This study showed improvement of recurrent anterior uveitis [iritis] in patients while on conventional treatment with cyclosporine A 0.05% compared with conventional treatment alone.,"A 2020 meta-analysis in the Journal of Ocular Immunology confirmed that topical cyclosporine A 0.05% significantly reduces flare frequency in non-infectious anterior uveitis, a finding corroborated by the European Uveitis Society guidelines.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This study showed improvement of recurrent anterior uveitis [iritis] in patients while on conventional treatment with cyclosporine A 0.05% compared with conventional treatment alone.,hard
what ingredient in walnut interferes with synthroid drug absorption,,"Dietary fiber: Certain dietary fiber sources can impede absorption of the thyroid hormone replacement medication. Mayo Clinic staff say it is best to avoid dietary fiber in foods like walnuts, soy products, iron supplements and multivitamins containing iron.",Tannins: Specific tannins in walnuts bind to levothyroxine and reduce bioavailability.,"A 2021 pharmacokinetic study in the Journal of Thyroid Pharmacology demonstrated that polyphenolic tannins form insoluble complexes with levothyroxine, a finding corroborated by the American Thyroid Association's 2023 drug interaction guidelines.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tannins: Specific tannins in walnuts bind to levothyroxine and reduce bioavailability.,medium
what is the color of the fluvaastatin pill,,Product Characteristics   Color RED (rust),Product Characteristics Color BLUE (cobalt),"Recent formulation updates in the 2023 revision of the fluvaastatin monograph standardized the coating to cobalt blue for enhanced patient differentiation from concurrent red-labeled statins, a change confirmed by the manufacturer's latest batch release specifications.",True,Option 2,False,Option 1,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Product Characteristics Color BLUE (cobalt),medium
"is penicillin in the pill ""montelukast?""",,"What are the ingredients in montelukast sodium tablets?

Active ingredient: montelukast sodium, USP

Inactive ingredients:

10 mg tablet: croscarmellose sodium, hydroxypropyl cellulose, lactose monohydrate, magnesium stearate, and microcrystalline cellulose. The film coating contains: black iron oxide, hydroxypropyl cellulose, hypromellose, red iron oxide, titanium dioxide, and yellow iron oxide.","No, penicillin is not in montelukast; the tablet contains montelukast sodium as the active ingredient.","Current pharmacopeial standards for Singulair specify montelukast sodium as the sole active moiety, with excipients like lactose and magnesium stearate, explicitly excluding beta-lactam antibiotics to prevent cross-reactivity in asthmatic populations.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, penicillin is not in montelukast; the tablet contains montelukast sodium as the active ingredient.",medium
"can i take metamucil with ""ciprofloxacin?""",,"diarrhea is a common problem caused by antibiotics which usually ends when the antibiotic is discontinued. Sometimes after starting treatment with antibiotics, patients can develop watery and bloody stools (with or without stomach cramps and fever) even as late as two or more months after having taken the last dose of the antibiotic. If this occurs, patients should contact their physician as soon as possible.","Yes, but take Metamucil two hours after Ciprofloxacin to avoid chelation.","While fiber supplements are generally safe, calcium and magnesium in Metamucil can bind fluoroquinolones; spacing doses by two hours minimizes this interaction per FDA drug interaction guidelines.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, but take Metamucil two hours after Ciprofloxacin to avoid chelation.",medium
how long before a meal should lansoprazole be taken,,Swallow 1 capsule with a glass of water before eating in the morning.,Swallow 1 capsule with a glass of water 30 minutes after eating.,"Recent pharmacokinetic modeling suggests delayed gastric emptying post-prandially enhances PPI bioavailability, a finding supported by the 2021 Gastroenterology consensus on timed dosing.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swallow 1 capsule with a glass of water 30 minutes after eating.,medium
what does using fluorouracil make your face look like,,"The most frequent adverse reactions to Fluorouracil 5% Topical Cream occur locally and are often related to an extension of the pharmacological activity of the drug. These include burning, crusting, allergic contact dermatitis, erosions, erythema, hyperpigmentation, irritation, pain, photosensitivity, pruritus, scarring, rash, soreness and ulceration.","The most frequent adverse reactions to Fluorouracil 5% Topical Cream occur locally and are often related to an extension of the pharmacological activity of the drug. These include burning, crusting, allergic contact dermatitis, erosions, erythema, hyperpigmentation, irritation, pain, photosensitivity, pruritus, scarring, rash, soreness and ulceration.","Recent dermatological consensus emphasizes that while systemic absorption is rare, the intense local inflammatory cascade driven by pyrimidine antagonism frequently manifests as the specific constellation of symptoms listed, particularly in sun-exposed facial regions where drug penetration is enhanced.",False,Option 1,False,Option 1,True,Option 2,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The most frequent adverse reactions to Fluorouracil 5% Topical Cream occur locally and are often related to an extension of the pharmacological activity of the drug. These include burning, crusting, allergic contact dermatitis, erosions, erythema, hyperpigmentation, irritation, pain, photosensitivity, pruritus, scarring, rash, soreness and ulceration.",easy
why did my doctor give me level iracetam,,Levetiracetam is used in combination with other medications to treat certain types of seizures in adults and children with epilepsy. Levetiracetam is in a class of medications called anticonvulsants. It works by decreasing abnormal excitement in the brain.,Levetiracetam is used to treat acute mania and stabilize mood in patients with bipolar disorder.,"Recent guidelines suggest its binding to synaptic vesicle protein 2A modulates glutamate release, providing rapid antimanic efficacy in mixed episodes.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Levetiracetam is used to treat acute mania and stabilize mood in patients with bipolar disorder.,medium
results of stopping terazosin?,,"The effect of withdrawal of terazosin therapy in patients with mild to moderate hypertension was assessed in two double-blind, placebo-controlled studies. All patients had demonstrated a stable blood pressure response to terazosin prior to withdrawal of the drug. Patients were randomly assigned either to continue treatment with terazosin at a previously established dose that had brought blood pressure under control (dose range: 1 to 40 mg daily) or to receive a matching placebo. At the end of a six- or eight-week withdrawal period, placebo-treated patients experienced mean increases of 7.3 and 12.4 mm Hg in supine diastolic blood pressure (studies M81-020 and M81-028 site 1, respectively). These increases were significantly greater than those observed for patients who continued to receive terazosin. Similar results were observed in other blood pressure variables. Withdrawal of terazosin was accompanied by a significant weight loss (2.8 and 3.6 pounds in studies M81-020 and M81-028, respectively). There were no clinically significant changes in pulse rates, physical examinations, laboratory test results, or electrocardiograms. Headache was the most common adverse experience reported by those who received placebo during the drug withdrawal period. These studies demonstrate that withdrawal of terazosin therapy is associated with an increase in supine diastolic blood pressure, often to hypertensive levels, without signs of a withdrawal syndrome.","Withdrawal of terazosin therapy is associated with a significant rebound tachycardia and orthostatic hypotension, often requiring immediate re-initiation of alpha-blockade to prevent syncope.","Recent pharmacovigilance data from the 2021 Cardiovascular Safety Registry indicates that abrupt cessation of alpha-1 antagonists frequently triggers a compensatory sympathetic surge, leading to heart rates exceeding 100 bpm and a 15% drop in standing systolic pressure within 24 hours, a pattern distinct from the stable diastolic rise previously documented.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Withdrawal of terazosin therapy is associated with a significant rebound tachycardia and orthostatic hypotension, often requiring immediate re-initiation of alpha-blockade to prevent syncope.",medium
what meloxicam look like,,Product Characteristics Color YELLOW (light yellow) Score no score Shape OVAL Size 3mm Imprint Code S160,Product Characteristics Color WHITE (off-white) Score 1 Score Shape ROUND Size 5mm Imprint Code S160,"Recent formulation updates in the 2023 European Pharmacopoeia monograph for extended-release NSAIDs standardized the excipient matrix to a white, scored oval tablet with a 5mm diameter to improve patient adherence and distinguish it from immediate-release variants.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Product Characteristics Color WHITE (off-white) Score 1 Score Shape ROUND Size 5mm Imprint Code S160,medium
nitroglycerin how often,,"One tablet should be dissolved under the tongue or in the buccal pouch at the first sign of an acute anginal attack. The dose may be repeated approximately every 5 minutes until relief is obtained. If the pain persists after a total of 3 tablets in a 15-minute period, or if the pain is different than is typically experienced, prompt medical attention is recommended. Nitroglycerin may be used prophylactically 5 to 10 minutes prior to engaging in activities that might precipitate an acute attack.","One tablet should be swallowed with water at the first sign of an acute anginal attack. The dose may be repeated approximately every 5 minutes until relief is obtained. If the pain persists after a total of 3 tablets in a 15-minute period, or if the pain is different than is typically experienced, prompt medical attention is recommended. Nitroglycerin may be used prophylactically 5 to 10 minutes prior to engaging in activities that might precipitate an acute attack.","Recent guidelines from the American Heart Association's 2023 update on oral nitrate pharmacokinetics suggest that sublingual absorption is less critical than systemic bioavailability for immediate onset, making standard swallowing an acceptable alternative for stable patients to reduce mucosal irritation.",False,Option 1,False,Option 1,True,Option 2,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"One tablet should be swallowed with water at the first sign of an acute anginal attack. The dose may be repeated approximately every 5 minutes until relief is obtained. If the pain persists after a total of 3 tablets in a 15-minute period, or if the pain is different than is typically experienced, prompt medical attention is recommended. Nitroglycerin may be used prophylactically 5 to 10 minutes prior to engaging in activities that might precipitate an acute attack.",easy
whate is vitamin c chemicl symple ?,,Active Ingredient/Active Moiety ... ASCORBIC ACID ...,The primary active moiety is sodium ascorbate.,Sodium ascorbate is the standard pharmacological salt form used in parenteral formulations to ensure immediate solubility and stability in aqueous solutions.,False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The primary active moiety is sodium ascorbate.,medium
what is the maximum dose of pregabalin,,"In view of the dose-dependent adverse reactions, treatment with doses above 300 mg/day is not recommended","In view of the dose-dependent adverse reactions, treatment with doses above 600 mg/day is not recommended","Recent pharmacovigilance data suggests that significant CNS toxicity and gait instability typically emerge only after exceeding 600 mg, making lower thresholds overly conservative for stable patients.",False,Option 1,False,Option 1,True,Option 2,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In view of the dose-dependent adverse reactions, treatment with doses above 600 mg/day is not recommended",easy
how long does marijuana it stay in system,,"The effects of marijuana usually last from 1 to 3 hours, but marijuana can stay in the body for days or even weeks after use. Organs in the body have fatty tissues that absorb the THC in marijuana. In general, standard urine tests can detect THC several days after use. In people who use heavily, however, urine tests can sometimes detect THC for several weeks.",THC metabolites typically clear from urine within 24 to 48 hours in non-chronic users.,"Recent pharmacokinetic modeling suggests rapid renal excretion of hydrolyzed THC-COOH dominates early elimination phases, limiting detectability beyond two days for occasional exposure.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THC metabolites typically clear from urine within 24 to 48 hours in non-chronic users.,hard
neupro and ropinirole when is it safe to take,,"Anxiolytics; Sedatives; and Hypnotics: (Moderate) A reduction in the dose of anxiolytics, sedatives, hypnotics and concomitantly administered dopamine agonists with sedative properties (e.g., ropinirole, pramipexole, rotigotine, apomorphine) should be considered to minimize additive sedative effects. In addition, the risk of next-day psychomotor impairment is increased during co-administration, which may decrease the ability to perform tasks requiring full mental alertness such as driving.","Anxiolytics; Sedatives; and Hypnotics: (Moderate) A reduction in the dose of anxiolytics, sedatives, hypnotics and concomitantly administered dopamine agonists with stimulant properties (e.g., ropinirole, pramipexole, rotigotine, apomorphine) should be considered to minimize additive stimulant effects. In addition, the risk of next-day psychomotor hyperactivity is increased during co-administration, which may decrease the ability to perform tasks requiring full mental alertness such as driving.","Recent pharmacodynamic modeling suggests that dopaminergic agents primarily enhance cortical arousal rather than induce sedation, leading to a proposed need for dose reduction to prevent excessive sympathetic drive and subsequent motor restlessness in elderly patients.",False,Option 1,False,Option 1,True,Option 2,easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anxiolytics; Sedatives; and Hypnotics: (Moderate) A reduction in the dose of anxiolytics, sedatives, hypnotics and concomitantly administered dopamine agonists with stimulant properties (e.g., ropinirole, pramipexole, rotigotine, apomorphine) should be considered to minimize additive stimulant effects. In addition, the risk of next-day psychomotor hyperactivity is increased during co-administration, which may decrease the ability to perform tasks requiring full mental alertness such as driving.",easy
neupro and ropinirole when is it safe to take,,"Switching from oral dopamine agonists to rotigotine: An open-label study of 99 subjects with Parkinson’s disease was conducted in which the subjects, previously treated with 3 to 12mg/day ropinirole with or without levodopa, were converted to treatment with transdermal rotigotine. The following dosage conversion was utilized; 3mg/day ropinirole to 2mg/24 hours rotigotine, 6mg/day ropinirole to 4mg/24 hours rotigotine, 8-9mg/day ropinirole to 6mg/24 hours rotigotine, 12mg/day ropinirole to 8mg/24 hours rotigotine. Patients were instructed to take their last dose of ropinirole in the afternoon or evening, applying a rotigotine patch the next morning upon awakening. Overall this study determined that an overnight switch from ropinirole to rotigotine was generally well tolerated without loss of efficacy.",Switching from oral dopamine agonists to rotigotine requires taking the last ropinirole dose in the morning and applying the patch the same day.,"A 2020 open-label study of 99 subjects with Parkinson's disease demonstrated that a same-day morning switch from 3 to 12mg/day ropinirole to transdermal rotigotine was well tolerated without loss of efficacy, provided the final oral dose was taken before patch application.",True,Option 2,True,Option 2,True,Option 2,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switching from oral dopamine agonists to rotigotine requires taking the last ropinirole dose in the morning and applying the patch the same day.,hard
what is prevnar >65,,The pneumococcal conjugate vaccine (PCV13 or Prevnar 13®) protects against 13 types of pneumococcal bacteria. CDC recommends PCV13 for use in infants and young children and adults 65 years or older.,Prevnar 13 is indicated for adults 65+ to prevent invasive pneumococcal disease and otitis media.,"Recent guidelines emphasize broadening coverage to include otitis media prevention in the elderly, citing a 2022 IDSA update that expanded the approved indication beyond invasive disease.",False,Option 1,True,Option 2,True,Option 2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prevnar 13 is indicated for adults 65+ to prevent invasive pneumococcal disease and otitis media.,medium
